app	product_id	type	price_usd	reward_qty	reward_unit	duration	notes
CompoundInterest	unlimited_lives_1h	consumable	0.99	inf	lives	1h	
CompoundInterest	unlimited_lives_forever	non_consumable	4.99	inf	lives	forever	
CompoundInterest	hint_pack	consumable	1.99	10	hints		
CompoundInterest	starter_pack	consumable	0.99	bundle	coins+lives+hints		
CompoundInterest	season_pass_monthly	subscription	1.99		subscription	P1M	
Connections	remove_ads	non_consumable	2.99		ads_off	forever	
Connections	coins_small	consumable	0.99	100	coins		
Connections	coins_large	consumable	2.99	500	coins		
Connections	five_lives	consumable	0.99	5	lives		
Connections	unlimited_lives_1h	consumable	0.99	inf	lives	1h	
Connections	unlimited_lives_forever	non_consumable	4.99	inf	lives	forever	
Connections	hint_pack	consumable	1.99	10	hints		
Connections	starter_pack	consumable	0.99	bundle	coins+lives+hints		
Connections	season_pass_monthly	subscription	1.99		subscription	P1M	
CountingApp	remove_ads	non_consumable	2.99		ads_off	forever	
CountingApp	coins_small	consumable	0.99	100	coins		
CountingApp	coins_large	consumable	2.99	500	coins		
CountingApp	five_lives	consumable	0.99	5	lives		
CountingApp	unlimited_lives_1h	consumable	0.99	inf	lives	1h	
CountingApp	unlimited_lives_forever	non_consumable	4.99	inf	lives	forever	
CountingApp	hint_pack	consumable	1.99	10	hints		
CountingApp	starter_pack	consumable	0.99	bundle	coins+lives+hints		
CountingApp	season_pass_monthly	subscription	1.99		subscription	P1M	
Cryptogram	remove_ads	non_consumable	2.99		ads_off	forever	
Cryptogram	coins_small	consumable	0.99	100	coins		
Cryptogram	coins_large	consumable	2.99	500	coins		
Cryptogram	five_lives	consumable	0.99	5	lives		
Cryptogram	unlimited_lives_1h	consumable	0.99	inf	lives	1h	
Cryptogram	unlimited_lives_forever	non_consumable	4.99	inf	lives	forever	
Cryptogram	hint_pack	consumable	1.99	10	hints		
Cryptogram	starter_pack	consumable	0.99	bundle	coins+lives+hints		
Cryptogram	season_pass_monthly	subscription	1.99		subscription	P1M	
CurrencyConverter	remove_ads	non_consumable	2.99		ads_off	forever	
CurrencyConverter	coins_small	consumable	0.99	100	coins		
CurrencyConverter	coins_large	consumable	2.99	500	coins		
CurrencyConverter	five_lives	consumable	0.99	5	lives		
CurrencyConverter	unlimited_lives_1h	consumable	0.99	inf	lives	1h	
CurrencyConverter	unlimited_lives_forever	non_consumable	4.99	inf	lives	forever	
CurrencyConverter	hint_pack	consumable	1.99	10	hints		
CurrencyConverter	starter_pack	consumable	0.99	bundle	coins+lives+hints		
CurrencyConverter	season_pass_monthly	subscription	1.99		subscription	P1M	
DartsScorer	remove_ads	non_consumable	2.99		ads_off	forever	
DartsScorer	coins_small	consumable	0.99	100	coins		
DartsScorer	coins_large	consumable	2.99	500	coins		
DartsScorer	five_lives	consumable	0.99	5	lives		
DartsScorer	unlimited_lives_1h	consumable	0.99	inf	lives	1h	
DartsScorer	unlimited_lives_forever	non_consumable	4.99	inf	lives	forever	
DartsScorer	hint_pack	consumable	1.99	10	hints		
DartsScorer	starter_pack	consumable	0.99	bundle	coins+lives+hints		
DartsScorer	season_pass_monthly	subscription	1.99		subscription	P1M	
DecisionMaker	remove_ads	non_consumable	2.99		ads_off	forever	
DecisionMaker	coins_small	consumable	0.99	100	coins		
DecisionMaker	coins_large	consumable	2.99	500	coins		
DecisionMaker	five_lives	consumable	0.99	5	lives		
DecisionMaker	unlimited_lives_1h	consumable	0.99	inf	lives	1h	
DecisionMaker	unlimited_lives_forever	non_consumable	4.99	inf	lives	forever	
DecisionMaker	hint_pack	consumable	1.99	10	hints		
DecisionMaker	starter_pack	consumable	0.99	bundle	coins+lives+hints		
DecisionMaker	season_pass_monthly	subscription	1.99		subscription	P1M	
DiceRoller	remove_ads	non_consumable	2.99		ads_off	forever	
DiceRoller	coins_small	consumable	0.99	100	coins		
DiceRoller	coins_large	consumable	2.99	500	coins		
DiceRoller	five_lives	consumable	0.99	5	lives		
DiceRoller	unlimited_lives_1h	consumable	0.99	inf	lives	1h	
DiceRoller	unlimited_lives_forever	non_consumable	4.99	inf	lives	forever	
DiceRoller	hint_pack	consumable	1.99	10	hints		
DiceRoller	starter_pack	consumable	0.99	bundle	coins+lives+hints		
DiceRoller	season_pass_monthly	subscription	1.99		subscription	P1M	
DinosaurApp	remove_ads	non_consumable	2.99		ads_off	forever	
DinosaurApp	coins_small	consumable	0.99	100	coins		
DinosaurApp	coins_large	consumable	2.99	500	coins		
DinosaurApp	five_lives	consumable	0.99	5	lives		
DinosaurApp	unlimited_lives_1h	consumable	0.99	inf	lives	1h	
DinosaurApp	unlimited_lives_forever	non_consumable	4.99	inf	lives	forever	
DinosaurApp	hint_pack	consumable	1.99	10	hints		
DinosaurApp	starter_pack	consumable	0.99	bundle	coins+lives+hints		
DinosaurApp	season_pass_monthly	subscription	1.99		subscription	P1M	
DotArt	remove_ads	non_consumable	2.99		ads_off	forever	
DotArt	coins_small	consumable	0.99	100	coins		
DotArt	coins_large	consumable	2.99	500	coins		
DotArt	five_lives	consumable	0.99	5	lives		
DotArt	unlimited_lives_1h	consumable	0.99	inf	lives	1h	
DotArt	unlimited_lives_forever	non_consumable	4.99	inf	lives	forever	
DotArt	hint_pack	consumable	1.99	10	hints		
DotArt	starter_pack	consumable	0.99	bundle	coins+lives+hints		
DotArt	season_pass_monthly	subscription	1.99		subscription	P1M	
DrumMachine	remove_ads	non_consumable	2.99		ads_off	forever	
DrumMachine	coins_small	consumable	0.99	100	coins		
DrumMachine	coins_large	consumable	2.99	500	coins		
DrumMachine	five_lives	consumable	0.99	5	lives		
DrumMachine	unlimited_lives_1h	consumable	0.99	inf	lives	1h	
DrumMachine	unlimited_lives_forever	non_consumable	4.99	inf	lives	forever	
DrumMachine	hint_pack	consumable	1.99	10	hints		
DrumMachine	starter_pack	consumable	0.99	bundle	coins+lives+hints		
DrumMachine	season_pass_monthly	subscription	1.99		subscription	P1M	
EmojiQuiz	remove_ads	non_consumable	2.99		ads_off	forever	
EmojiQuiz	coins_small	consumable	0.99	100	coins		
EmojiQuiz	coins_large	consumable	2.99	500	coins		
